번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),수리대상 의료기기의 유형,다른 겸업 여부,총규모,영업규모,
1,의료기기판매(임대)업,01_02_03_P,3020000,PHMG120263020033047000018,2026-03-27,,01,영업/정상,13,영업중,,,,,02-701-4233,,,,"서울특별시 용산구 한강로*가  ***-** , 전자타운 B동 ***호",04370,주식회사 스토리지썬,2026-03-27 14:26:51,I,2026-03-29 00:20:01,,196742.815270433,447972.54104319,,,,,
2,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000085,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-**,"서울특별시 강남구 학동로**길 **-*, *층 (논현동)",06112,주식회사 더마노바,2026-03-27 09:52:58,I,2026-03-29 00:20:01,,202481.209252298,445516.87678212,,,142,,
3,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000086,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-* 거평타운오피스텔,"서울특별시 강남구 봉은사로 ***, 거평타운오피스텔 ****호 (논현동)",06121,유한회사 송우드뱅크(서울지점 글로벌바이오),2026-03-27 11:09:22,I,2026-03-29 00:20:01,,202425.73,444852.88,,,32.8,,
4,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000087,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 대치동 ***-** 동현빌딩,"서울특별시 강남구 역삼로**길 **, 동현빌딩 ***호 (대치동)",06184,유한회사 이상메디,2026-03-27 16:31:51,I,2026-03-29 00:20:01,,205195.491562325,444737.663057669,,,3.3,,
5,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000088,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 역삼동 ***-** 테헤란로오피스빌딩,"서울특별시 강남구 테헤란로**길 *, 테헤란로오피스빌딩 ***호 (역삼동)",06211,(주)위드설리번,2026-03-27 16:32:41,I,2026-03-29 00:20:01,,204103.04193011,444558.775468448,,,116.68,,
12,의료기기판매(임대)업,01_02_03_P,3860000,PHMG120263860384047000026,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 부천시 원미구 중동 **** 위브더스테이트,"경기도 부천시 원미구 신흥로 ***, 위브더스테이트 상가*동 ***호 일부호 (중동)",14549,주식회사 더나드컴퍼니,2026-03-27 16:53:25,I,2026-03-29 00:20:01,,180261.181937163,444232.852610205,,,,,
14,의료기기판매(임대)업,01_02_03_P,3030000,PHMG120263030033047000021,2026-03-27,,01,영업/정상,13,영업중,,,,,02-469-2879,,,서울특별시 성동구 성수동*가 ***-* 서울숲코오롱디지털타워,"서울특별시 성동구 성수일로*길 **, 서울숲코오롱디지털타워 ***호 (성수동*가)",04781,주식회사 리얼티쓰,2026-03-27 15:32:09,I,2026-03-29 00:20:01,,204522.096092445,448925.421926728,,,,,
18,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940138047000032,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 화정동 ***-* 동양트레벨II,"경기도 고양시 덕양구 백양로 **, 동양트레벨II ****호 (화정동)",10500,행운상회,2026-03-27 13:34:55,I,2026-03-29 00:20:01,,185260.272932577,459039.869296121,,,,,
19,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940139047000030,2026-03-24,,01,영업/정상,13,영업중,,,,,031-911-9469,,,경기도 고양시 일산동구 산황동 ***-*,"경기도 고양시 일산동구 산황로 ***, *층 (산황동)",10453,폴가든,2026-03-27 09:08:55,I,2026-03-29 00:20:01,,183229.532346729,460984.868554932,,,232.52,,
23,의료기기판매(임대)업,01_02_03_P,3930000,PHMG120263930154047000022,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,,"경기도 안산시 단원구 예술대학로 **, 안산중앙노블레스 ***호 (고잔동)",15360,펄스코리아,2026-03-27 14:12:01,I,2026-03-29 00:20:01,,185438.522300612,424085.645643092,,,,,
26,의료기기판매(임대)업,01_02_03_P,3830000,PHMG120263830262047000008,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 안양시 만안구 안양동 ***-*,"경기도 안양시 만안구 안양로***번길 **, *층 (안양동)",14092,제일복지용구센터,2026-03-27 14:09:34,I,2026-03-29 00:20:01,,,,,,,,
27,의료기기판매(임대)업,01_02_03_P,3830000,PHMG120263830262047000009,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 안양시 만안구 안양동 ***-**,"경기도 안양시 만안구 안양로***번길 **, *층 *호~**호 (안양동)",13992,(주)코리아세븐 안양최고점,2026-03-27 14:10:26,I,2026-03-29 00:20:01,,,,,,,,
28,의료기기판매(임대)업,01_02_03_P,3230000,PHMG120263230034047000072,2024-05-14,,01,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 가락동 ***,"서울특별시 송파구 중대로 ***, 지층*호 (가락동)",05828,다온숲 힐링센터 서울지사,2026-03-27 10:40:52,I,2026-03-29 00:20:01,,210932.386303593,443703.135621607,,,557.24,,
30,의료기기판매(임대)업,01_02_03_P,4060000,PHMG120264060482047000022,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 파주시 목동동 **** 힐스테이트 운정,"경기도 파주시 교하로 ***, ***동 ****호 (목동동, 힐스테이트 운정)",10891,보청기 상점 365,2026-03-27 14:43:59,I,2026-03-29 00:20:01,,176466.766632528,469093.368737977,,,,,
31,의료기기판매(임대)업,01_02_03_P,4040000,PHMG120264040023047000026,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 하남시 덕풍동 ***-**,"경기도 하남시 신장로***번길 **, *층 (덕풍동)",12971,세븐일레븐 하남라인타운점,2026-03-27 17:26:44,I,2026-03-29 00:20:01,,217550.926494853,449081.362357788,,,76.99,,
32,의료기기판매(임대)업,01_02_03_P,4010000,PHMG120264010281047000020,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,,"경기도 시흥시 서촌상가*길 **, 화신IVY city B동 ***호 (정왕동)",15036,그날의온도,2026-03-27 15:01:07,I,2026-03-29 00:20:01,,176122.538342157,427147.620932163,,,19.8,,
36,의료기기판매(임대)업,01_02_03_P,3200000,PHMG120263200033047000013,2021-09-23,,01,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 봉천동 **-** 에스클래스 비***호,"서울특별시 관악구 관악로 ***, 비***호 (봉천동, 에스클래스)",08733,(주)러브커머스,2026-03-27 14:51:57,I,2026-03-29 00:20:01,,196214.85780253,442780.470789265,,,,,
37,의료기기판매(임대)업,01_02_03_P,3200000,PHMG120263200033047000014,2018-07-26,,01,영업/정상,13,영업중,,,,,,,,서울특별시 관악구 봉천동 **-** 에스클래스 비***호,"서울특별시 관악구 관악로 ***, 비***호 (봉천동, 에스클래스)",08733,러브허니,2026-03-27 17:16:51,I,2026-03-29 00:20:01,,196214.85780253,442780.470789265,,,,,
38,의료기기판매(임대)업,01_02_03_P,4181000,PHMG120264181030047000017,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,,"강원특별자치도 춘천시 동내면 학곡지구길 **, ***동 ****호 (춘천학곡 모아엘가 비스타)",24473,스쿨진,2026-03-27 10:44:53,I,2026-03-29 00:20:01,,,,,,9.92,,
39,의료기기판매(임대)업,01_02_03_P,3990000,PHMG120263990310047000024,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 남양주시 별내동 ***,"경기도 남양주시 송산로***번길 **, 화이트락 *층 (별내동)",12093,세븐일레븐 별내청학점,2026-03-26 10:44:12,I,2026-03-29 00:20:01,,211696.669122506,463462.93334557,,,,,
40,의료기기판매(임대)업,01_02_03_P,3990000,PHMG120263990310047000025,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 남양주시 별내동 *** 별내 푸르지오,"경기도 남양주시 송산로***번길 **, ***동 B***호 (별내동, 별내 푸르지오)",12095,세븐일레븐 별내푸르지오점,2026-03-26 10:45:01,I,2026-03-29 00:20:01,,211403.455431916,462863.677486222,,,,,
41,의료기기판매(임대)업,01_02_03_P,3990000,PHMG120263990310047000026,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 남양주시 진접읍 금곡리 **** 엠타워,"경기도 남양주시 진접읍 해밀예당*로 ***, 엠타워 ***-E**호",12059,니픽,2026-03-27 14:52:10,I,2026-03-29 00:20:01,,217778.358641152,468642.326585464,,,,,
42,의료기기판매(임대)업,01_02_03_P,3780000,PHMG120263780064047000034,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 성남시 분당구 야탑동 ***-* 글라스타워,"경기도 성남시 분당구 성남대로***번길 **, 글라스타워 *층 ***호 (야탑동)",13506,(DH)바이오메디텍,2026-03-27 09:15:22,I,2026-03-29 00:20:01,,211425.052548627,434313.239466121,,,6.8,,
43,의료기기판매(임대)업,01_02_03_P,3900000,PHMG120263900028047000026,2026-03-27,,01,영업/정상,13,영업중,,,,,02-976-9035,,,경기도 광명시 하안동 *** 하안*단지고층주공아파트,"경기도 광명시 안현로 **, ***동 ***호 (하안동, 하안*단지고층주공아파트)",14245,엠케이헬스케어,2026-03-27 13:30:41,I,2026-03-29 00:20:01,,188758.396786358,440316.659424011,,,49.94,,
46,의료기기판매(임대)업,01_02_03_P,3120000,PHMG120143120033047000113,2014-07-10,,01,영업/정상,13,영업중,,,,,02-3474-5245,,,서울특별시 서대문구 신촌동 ***번지 연세대학교 치과대학병원,"서울특별시 서대문구 연세로 **-*, 연세대학교 치과대학병원 *층 (신촌동)",03722,더덴탈샵,2026-03-27 14:30:59,U,2026-03-29 02:40:00,,194584.959249312,451381.585492051,,,,,
51,의료기기판매(임대)업,01_02_03_P,4191000,PHMG120134190023047000040,2013-10-29,,03,폐업,03,폐업,2026-03-27,,,,033-734-7722,,220-963,강원특별자치도 원주시 학성동 ***번지 **호,강원특별자치도 원주시 원일로 *** (학성동),26415,천사의료기,2026-03-27 17:23:25,U,2026-03-29 02:40:00,,283722.281855173,428412.21681258,,,80.88,,
52,의료기기판매(임대)업,01_02_03_P,4181000,PHMG120214180029047000061,2021-07-07,,03,폐업,03,폐업,2026-03-27,,,,,,,강원특별자치도 춘천시 후평동 ***-*,강원특별자치도 춘천시 춘천로***번길 *(후평동),24277,다미,2026-03-27 10:46:51,U,2026-03-29 02:40:00,,265570.820727088,486698.525440101,,,,,
55,의료기기판매(임대)업,01_02_03_P,3780000,PHMG120193780064047000132,2019-01-28,,03,폐업,03,폐업,2025-03-26,,,,,,,경기도 성남시 분당구 서현동 ***번지 *호 보람코아,"경기도 성남시 분당구 서현로***번길 *, 보람코아 ***호 (서현동)",13591,토피카,2026-03-27 17:41:06,U,2026-03-29 02:40:00,,211080.60836251,431604.759204645,,,3.3,,
58,의료기기판매(임대)업,01_02_03_P,3030000,PHMG120263030033047000017,2026-03-23,,01,영업/정상,13,영업중,,,,,,,,서울특별시 성동구 성수동*가 ***-* 통일타워,"서울특별시 성동구 연무장**길 *-*, 통일타워 ***호 (성수동*가)",04783,"주식회사 덱스원(DexWon Co., Ltd.)",2026-03-27 15:19:25,U,2026-03-29 02:40:00,,205091.534559816,448856.243978282,,,,,
59,의료기기판매(임대)업,01_02_03_P,5600000,PHMG120265600005047000005,2026-03-19,,01,영업/정상,13,영업중,,,,,,,,경기도 포천시 일동면 길명리 ***-*,"경기도 포천시 일동면 영일로 ***, 라동 *층",11121,인피니티솔루션(주),2026-03-27 16:58:11,U,2026-03-29 02:40:00,,225081.96198038,493177.712630172,,,158.4,,
60,의료기기판매(임대)업,01_02_03_P,3060000,PHMG120263060034047000016,2026-03-13,,01,영업/정상,13,영업중,,,,,,,,서울특별시 중랑구 신내동 ***-** 신천빌리지아파트,"서울특별시 중랑구 신내로*길 **, 신천빌리지아파트 *층 (신내동, 신천빌리지아파트)",02086,타파웨어 망우점,2026-03-27 10:19:17,U,2026-03-29 02:40:00,,208403.471889373,455270.870025506,,,,,
63,의료기기판매(임대)업,01_02_03_P,3780000,PHMG120243780064047000081,2024-07-09,,01,영업/정상,13,영업중,,,,,,,,경기도 성남시 분당구 정자동 ***-* *층 ***-**호,"경기도 성남시 분당구 정자로 *, 분당 정자동 푸르지오시티 *층 ***-**호 (정자동)",13560,주식회사 서울예스바이오,2026-03-27 11:17:40,U,2026-03-29 02:40:00,,209234.683335466,429000.897324745,,,,,
64,의료기기판매(임대)업,01_02_03_P,3820000,PHMG120243820050047000045,2024-08-08,,03,폐업,03,폐업,2026-04-01,,,,,,,경기도 의정부시 의정부동 ***-*,"경기도 의정부시 호국로 ****, *층 (의정부동)",11692,혜당생활과학의료기,2026-03-27 08:44:47,U,2026-03-29 02:40:00,,204395.890241634,471222.355225017,,,,,
67,의료기기판매(임대)업,01_02_03_P,4030000,PHMG120264030022047000002,2026-01-27,,01,영업/정상,13,영업중,,,,,,,,경기도 의왕시 오전동 *** 대현테크노월드,"경기도 의왕시 오전공업길 **, 대현테크노월드 ***호 (오전동)",16072,케이앤에프,2026-03-27 10:24:04,U,2026-03-29 02:40:00,,196923.739455651,428144.829103479,,,,,
70,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120213220033047000575,2021-10-26,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 **-* 명은빌딩,"서울특별시 강남구 논현로***길 **-*, 명은빌딩 *층 (논현동)",06039,주식회사 온라이브플러스,2026-03-27 09:37:05,U,2026-03-29 02:40:00,,202038.261241413,446030.057611998,,,,,
77,의료기기판매(임대)업,01_02_03_P,3900000,PHMG120213900028047000032,2021-05-06,,03,폐업,03,폐업,2026-03-24,,,,,,,경기도 광명시 소하동 **** 에이스 광명타워,"경기도 광명시 하안로 ***, 에이스 광명타워 ***호 (소하동)",14319,씨유광명에이스점,2026-03-27 13:37:13,U,2026-03-29 02:40:00,,190392.971340646,438406.452120428,,,,,
78,의료기기판매(임대)업,01_02_03_P,3930000,PHMG120213930154047000092,2021-06-25,,01,영업/정상,13,영업중,,,,,,,,경기도 안산시 단원구 성곡동 ***-*,"경기도 안산시 단원구 엠티브이*로 **, A동 *층 (성곡동)",15657,영광솔루션,2026-03-27 10:41:53,U,2026-03-29 02:40:00,,177770.646848346,422048.03130016,,,,,
80,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120253220033047000154,2025-05-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 삼성동 ***-** 매직킹덤빌딩,"서울특별시 강남구 테헤란로**길 **, 매직킹덤빌딩 *층 티-**호 (삼성동)",06169,(주)그로우팩토리,2026-03-27 09:12:50,U,2026-03-29 02:40:00,,205034.076582582,445158.763300998,,,2,,
81,의료기기판매(임대)업,01_02_03_P,3030000,PHMG120253030033047000034,2025-07-15,,01,영업/정상,13,영업중,,,,,02-529-8237,,,서울특별시 성동구 성수동*가 ***-** 하우스디 세종타워,"서울특별시 성동구 성수일로**길 **, 하우스디 세종타워 본동 ****호 (성수동*가)",04793,(주)퓨처켐헬스케어,2026-03-27 15:57:53,U,2026-03-29 02:40:00,,204607.548949327,449380.324793135,,,,,
87,의료기기판매(임대)업,01_02_03_P,3860000,PHMG120183860384047000048,2018-04-19,,03,폐업,03,폐업,2026-03-27,,,,,,,경기도 부천시 소사구 심곡본동 ***번지,"경기도 부천시 소사구 경인로 ***, *층 (심곡본동)",14710,메디퓨쳐스중부,2026-03-27 13:30:13,U,2026-03-29 02:40:00,,180877.690581889,442354.044410562,,,,,
88,의료기기판매(임대)업,01_02_03_P,4191000,PHMG120234191050047000082,2023-12-18,,01,영업/정상,13,영업중,,,,,,,,강원특별자치도 원주시 태장동 ****,"강원특별자치도 원주시 장전길 **, ***호 (태장동)",26312,피오 헬스케어,2026-03-27 14:36:06,U,2026-03-29 02:40:00,,284493.179639677,433284.394764876,,,22,,
89,의료기기판매(임대)업,01_02_03_P,3990000,PHMG120163990029047000025,2023-02-16,,03,폐업,03,폐업,2026-03-26,,,,,,,경기도 남양주시 진접읍 장현리 ***-* 장현프라자,"경기도 남양주시 진접읍 장현로 **, 장현프라자",12014,씨제이올리브영(주) 남양주장현점,2026-03-27 11:24:16,U,2026-03-29 02:40:00,,215884.7559995,468378.897720642,,,118.44,,
90,의료기기판매(임대)업,01_02_03_P,3010000,PHMG120093010033047000030,2009-05-18,,01,영업/정상,13,영업중,,,,,02-2131-8515,,,서울특별시 중구 순화동 ***,서울특별시 중구 세종대로*길 **(순화동),04511,(주)에스원,2026-03-27 16:45:59,U,2026-03-29 02:40:00,,197525.216075161,450904.122723876,,,,,
93,의료기기판매(임대)업,01_02_03_P,3230000,PHMG120213230034047000008,2021-01-19,,01,영업/정상,13,영업중,,,,,,,,서울특별시 송파구 송파동 **-*,"서울특별시 송파구 송파대로**길 *, *층 ***-*호 (송파동)",05667,레몬팁,2026-03-27 17:45:06,U,2026-03-29 02:40:00,,209623.199150269,444582.063679479,,,,,
95,의료기기판매(임대)업,01_02_03_P,3990000,PHMG120243990310047000094,2024-11-19,,03,폐업,03,폐업,2026-03-26,,,,,,,경기도 남양주시 별내동 ****-*,"경기도 남양주시 별내중앙로 **, *층 ***호 (별내동)",12112,지에스(GS)25 별내로데오점,2026-03-26 10:44:00,U,2026-03-29 02:40:00,,210873.469890683,460532.70367855,,,66.11,,
96,의료기기판매(임대)업,01_02_03_P,3100000,PHMG120253100034047000013,2025-02-03,,03,폐업,03,폐업,2026-03-27,,,,,,,서울특별시 노원구 공릉동 ***-*,"서울특별시 노원구 동일로***길 *, *호 (공릉동)",01858,독일베스트보청기 노원점,2026-03-27 17:30:02,U,2026-03-29 02:40:00,,206430.183194569,457736.220405704,,,,,
